"antiquewhite2"	"black"	"blue"	"blue4"	"blueviolet"	"brown"	"coral"	"coral3"	"cyan"	"darkgreen"	"darkgrey"	"darkmagenta"	"darkolivegreen"	"darkolivegreen2"	"darkorange"	"darkred"	"darkseagreen3"	"darkturquoise"	"deeppink"	"firebrick3"	"green"	"greenyellow"	"grey"	"grey60"	"honeydew"	"indianred3"	"lavenderblush2"	"lightblue4"	"lightcyan"	"lightcyan1"	"lightgreen"	"lightpink2"	"lightpink3"	"lightslateblue"	"lightsteelblue1"	"lightyellow"	"magenta"	"magenta3"	"magenta4"	"mediumpurple1"	"mediumpurple3"	"mediumpurple4"	"midnightblue"	"navajowhite"	"navajowhite1"	"orange"	"orangered1"	"orangered4"	"paleturquoise"	"palevioletred1"	"palevioletred2"	"pink"	"pink4"	"plum1"	"plum4"	"purple"	"red"	"royalblue"	"saddlebrown"	"salmon"	"salmon1"	"salmon2"	"sienna3"	"sienna4"	"skyblue"	"skyblue3"	"skyblue4"	"steelblue"	"tan"	"tan4"	"thistle"	"thistle3"	"thistle4"	"turquoise"	"violet"	"white"	"yellow"	"yellow3"	"yellowgreen"
"21"	10133	9274	503693	221955	127687	3269	23214	222194	8859	100505592	2170	3717	4886	115939	54943	85459	100507567	116068	8425	63875	9575	70	9788	9879	404093	10910	58488	138050	9139	1809	54471	10219	22927	25851	100287814	55759	729234	23241	59269	9878	492311	1545	55254	55238	6472	145508	80153	24145	58499	376412	4669	11049	1727	8675	1183	55032	8034	60312	29954	7466	51735	199221	128553	753	8226	538	4811	55013	2977	5358	6556	320	6642	3621	5213	197358	10160	57180	5223
"22"	7732	93100	5210	25796	143279	114134	83869	25778	10170	93183	55048	85440	5717	3315	81789	222389	80230	92799	4799	7386	10765	5062	8516	1176	201229	84168	957	115825	170082	342892	440104	151987	1117	51434	90529	57412	51152	284023	195828	23331	23741	1329	23008	152815	3598	112611	7107	23057	6009	84950	6150	30836	8780	114825	9453	150248	79828	9144	1152	728537	256380	10000	7392	253461	84164	2633	7072	64940	51086	10200	728	6439	51201	1487	101928845	3702	10564	9857	2773
"23"	65124	662	100506325	84331	4779	3417	84669	2260	4154	899	1646	4084	9218	9820	23099	388558	79145	219749	55676	54436	6659	55308	400713	539	28998	9218	158293	26973	64718	729177	9640	253143	3964	5715	8997	7965	9532	11341	9833	3831	51520	23637	90407	3676	221061	79703	284358	100505876	27241	1376	1441	2633	80762	3751	9617	10618	84283	64778	83858	84706	88745	9252	123688	55233	51171	259173	115908	81619	10627	169200	10420	79915	3267	6777	56729	84445	221496	57633	3423
"24"	834	56655	9639	154	170960	7171	407040	222234	80005	199857	9926	56947	5176	5688	5889	2081	9172	79890	27077	10095	10170	63917	57224	23299	29	125150	285381	6793	9422	6571	84193	196951	58508	516	56904	56849	65244	57602	81544	10611	654342	7867	22800	8467	348180	3097	91754	4094	121642	729991	92609	151195	9325	6524	51135	27315	387338	1587	200765	284004	50840	121441	219931	2495	10267	64116	2274	5438	133874	3915	50856	100289187	23244	1410	8794	91316	92002	246243	56675
"25"	117289	5093	10004	2876	1915	101927027	6192	51263	23312	55366	51324	23291	83636	25824	79165	10655	84078	4134	10277	80331	50809	5097	6444	7027	78988	56122	10474	79184	79725	148213	587	55727	10073	26088	64863	54813	100507316	84263	7153	5286	481	7555	25963	6879	55740	26586	10197	10059	8854	9097	6813	7802	683	6400	9026	324	23304	4801	4137	54922	128611	192670	283358	79982	26122	23163	6059	221476	80020	26993	2651	375607	5799	9363	83591	6504	26999	147463	90338
"26"	166968	4946	55246	4361	3216	4082	29780	55015	5569	148113	79086	117178	63929	5987	65083	51426	93974	2356	3549	55100	1938	58524	642236	1141	92675	6782	285148	30815	5431	7903	170394	332	9425	56947	946	55176	83734	11237	3836	57606	197	64005	5430	9466	55690	5163	100507642	2743	51226	92400	5476	27250	647087	4856	10813	100508120	55746	90861	80011	54106	51128	168451	2534	7707	54869	55234	29775	1476	8697	79269	9342	63877	29843	54881	221264	132884	468	79659	3920
"27"	115361	10444	84926	23406	285362	8202	22829	10541	137835	1757	81693	8028	50486	553115	149840	23276	6566	9908	117283	78988	79992	8839	57507	5066	706	84240	5208	285464	7574	147686	51645	574036	130827	4242	388011	84376	11214	572558	81671	5763	54205	8685	433	124565	5757	10664	154661	3643	79148	51760	84266	80320	27180	158326	51230	25994	172	55769	57010	29886	5209	6239	65082	1808	57463	4686	51804	51129	7415	998	29108	55742	55012	223	3038	286530	100131043	148867	9444
"28"	1819	9454	401320	123803	51115	7570	285237	123	219771	9590	128486	84142	79987	694	56905	57017	64432	9570	55283	5688	220594	22821	79718	6452	2647	51320	6279	10863	84933	57232	55182	10505	3204	6627	270	7702	8353	51265	79723	3652	57654	9444	6662	7040	989	23318	65082	114800	3344	51750	27077	57758	23052	23704	9568	54558	23358	3202	101928817	3603	285957	23279	167691	307	101927263	55422	8877	51138	101927798	51491	51096	9203	5912	10129	165631	55761	6429	7532	51065
"29"	2192	10963	25852	28952	10161	4213	5289	8451	9929	7037	1645	10129	2819	644096	286272	103344929	101928762	5885	100131733	191	27248	55510	9625	84102	55852	51773	10008	55024	5150	113402	4802	157378	7529	25828	85026	3981	135458	56648	80270	2733	23219	5510	23609	23654	51285	84060	132321	6907	1965	10126	23770	80000	10618	92979	64860	5229	8874	9690	3543	81831	3116	54790	84445	29766	9265	6675	79057	2760	101928559	2770	84329	672	23228	51657	4026	2303	9834	7204	375704
"30"	2532	9793	7170	84957	1106	10678	27327	51335	10048	3092	22941	51582	5577	8379	9918	158584	79912	55319	4836	199	10101	2531	80155	9569	1622	1105	153830	8473	55556	100505576	3663	3226	51499	23560	220108	2744	158358	26135	9469	26505	54187	1727	84932	5394	1012	9834	84376	54796	6935	101928649	79632	2534	4814	29944	572	55806	57234	1488	5689	23476	23185	54545	29785	4512	8131	54442	30061	49	9607	54749	29015	256281	8436	51280	101927526	7112	973	9678	51397
